City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-2.72,93,100,4.0,RU,1683559725
1,veles,41.7156,21.7756,19.25,50,75,1.68,MK,1683559626
2,waitangi,-43.9535,-176.5597,14.9,95,100,1.79,NZ,1683559726
3,victorica,-36.2151,-65.4359,15.95,49,0,1.38,AR,1683559726
4,puerto ayora,-0.7393,-90.3518,29.98,94,64,3.13,EC,1683559726
5,katsuren-haebaru,26.3369,127.8719,22.01,70,20,5.66,JP,1683559726
6,kelso,46.1468,-122.9084,11.07,90,100,3.09,US,1683559726
7,grytviken,-54.2811,-36.5092,2.09,84,17,4.84,GS,1683559727
8,namibe,-15.1961,12.1522,25.75,69,90,4.86,AO,1683559727
9,jamestown,42.097,-79.2353,16.96,66,20,1.54,US,1683559553
10,iskateley,67.6803,53.1512,0.68,91,100,7.05,RU,1683559727
11,port-aux-francais,-49.35,70.2167,4.64,80,100,11.49,TF,1683559728
12,olonkinbyen,70.9221,-8.7187,1.66,100,100,3.03,SJ,1683559728
13,vilyuchinsk,52.9306,158.4028,3.15,99,95,3.15,RU,1683559728
14,stanley,54.868,-1.6985,15.01,90,75,3.6,GB,1683559728
15,hawaiian paradise park,19.5933,-154.9731,20.57,94,75,2.06,US,1683559729
16,yellowknife,62.456,-114.3525,9.29,66,75,2.06,CA,1683559729
17,susuman,62.7833,148.1667,-2.34,89,100,2.44,RU,1683559729
18,lorengau,-2.0226,147.2712,28.09,78,100,2.92,PG,1683559729
19,sarandi del yi,-33.35,-55.6333,20.61,43,1,6.02,UY,1683559729
20,kodiak,57.79,-152.4072,2.73,70,100,3.09,US,1683559730
21,al ghayzah,16.2079,52.176,29.38,51,1,4.56,YE,1683559730
22,greymouth,-42.4667,171.2,15.29,96,100,4.54,NZ,1683559730
23,longyearbyen,78.2186,15.6401,-1.09,74,75,0.0,SJ,1683559730
24,las tablas,7.7667,-80.2833,30.62,55,13,7.34,PA,1683559731
25,moose jaw,50.4001,-105.5344,10.14,87,100,5.14,CA,1683559731
26,tsetserleg,47.475,101.4542,8.33,49,100,1.62,MN,1683559731
27,st. john's,47.5649,-52.7093,12.66,57,75,9.77,CA,1683559626
28,bethel,41.3712,-73.414,21.92,50,0,6.17,US,1683559725
29,lubao,14.9167,120.55,27.04,81,100,1.5,PH,1683559731
30,puerto baquerizo moreno,-0.9,-89.6,26.55,94,40,3.6,EC,1683559732
31,adamstown,-25.066,-130.1015,21.33,58,98,9.07,PN,1683559732
32,tamanrasset,22.785,5.5228,34.95,7,0,6.17,DZ,1683559732
33,mount pearl,47.5166,-52.7813,12.19,57,75,9.77,CA,1683559574
34,margaret river,-33.95,115.0667,17.21,53,97,4.99,AU,1683559733
35,bilibino,68.0546,166.4372,-10.67,97,96,1.38,RU,1683559735
36,qaqortoq,60.7167,-46.0333,2.23,82,100,1.69,GL,1683559736
37,yoichi,43.2039,140.7703,6.84,87,13,3.98,JP,1683559737
38,port mathurin,-19.6833,63.4167,26.05,74,0,9.78,MU,1683559737
39,kourou,5.1552,-52.6478,30.03,91,100,2.26,GF,1683559737
40,mount gambier,-37.8333,140.7667,12.09,74,96,2.96,AU,1683559737
41,invercargill,-46.4,168.35,12.72,96,99,3.16,NZ,1683559738
42,lihue,21.9789,-159.3672,22.77,75,75,5.66,US,1683559738
43,edinburgh of the seven seas,-37.0676,-12.3116,14.85,63,53,5.96,SH,1683559534
44,isafjordur,66.0755,-23.124,8.02,76,20,7.2,IS,1683559738
45,albany,42.6001,-73.9662,19.77,45,16,0.89,US,1683559063
46,san pedro pochutla,15.7333,-96.4667,33.17,54,1,1.27,MX,1683559739
47,colonia,50.9333,6.95,21.92,67,20,4.12,DE,1683559463
48,punta arenas,-53.15,-70.9167,7.01,75,0,5.14,CL,1683559739
49,richards bay,-28.783,32.0377,19.35,94,100,2.54,ZA,1683559739
50,xinzhi,36.4989,111.7047,16.44,49,71,2.4,CN,1683559739
51,jagnair,26.8667,77.6,30.95,8,0,2.86,IN,1683559740
52,lazaro cardenas,17.9583,-102.2,29.47,57,0,0.6,MX,1683559740
53,blackmans bay,-43.0167,147.3167,9.85,73,100,5.47,AU,1683559740
54,san antonio de pale,-1.4014,5.6325,28.62,75,89,3.7,GQ,1683559740
55,klyuchi,52.2667,79.1667,21.69,20,39,3.25,RU,1683559741
56,whitehorse,60.7161,-135.0538,4.34,62,20,3.09,CA,1683559669
57,aykhal,66.0,111.5,-5.67,92,100,5.44,RU,1683559741
58,puerto santa,-8.9906,-78.6456,23.1,86,99,4.07,PE,1683559741
59,ryotsu-minato,38.0833,138.4333,10.24,76,71,2.97,JP,1683559742
60,avarua,-21.2078,-159.775,25.03,88,100,6.17,CK,1683559742
61,ust-nera,64.5667,143.2,-1.4,92,97,2.52,RU,1683559742
62,dudinka,69.4058,86.1778,1.46,89,98,5.89,RU,1683559742
63,rexburg,43.826,-111.7897,9.68,59,0,2.57,US,1683559580
64,birao,10.2849,22.7882,39.48,17,85,3.07,CF,1683559743
65,wailua homesteads,22.0669,-159.378,22.44,74,75,5.66,US,1683559743
66,lebu,-37.6167,-73.65,12.05,59,90,4.87,CL,1683559743
67,college,64.8569,-147.8028,4.39,76,75,1.54,US,1683559743
68,tiksi,71.6872,128.8694,-17.75,99,64,3.11,RU,1683559744
69,ondjiva,-17.0667,15.7333,32.32,16,6,1.87,AO,1683559744
70,toliara,-23.35,43.6667,24.9,73,49,3.93,MG,1683559744
71,bredasdorp,-34.5322,20.0403,17.92,71,100,3.98,ZA,1683559744
72,guapiacu,-20.795,-49.2203,29.16,42,0,2.06,BR,1683559744
73,bucu,44.6053,27.4934,13.31,94,100,4.11,RO,1683559745
74,dzhangala,49.2167,50.3333,9.79,54,100,6.43,KZ,1683559745
75,west island,-12.1568,96.8225,26.99,94,40,5.14,CC,1683559745
76,ribeira grande,38.5167,-28.7,17.22,82,75,4.02,PT,1683559745
77,ciudad constitucion,25.0369,-111.6644,19.72,49,6,5.44,MX,1683559745
78,atafu village,-8.5421,-172.5159,28.32,79,28,5.27,TK,1683559746
79,poxoreo,-15.8372,-54.3892,30.58,43,86,1.68,BR,1683559746
80,dera bugti,29.0307,69.151,31.16,7,0,1.82,PK,1683559746
81,praia da vitoria,38.7333,-27.0667,18.14,100,20,1.01,PT,1683559608
82,ilulissat,69.2167,-51.1,0.01,86,75,2.57,GL,1683559746
83,tobelo,1.7284,128.0095,27.32,82,100,2.03,ID,1683559747
84,puerto natales,-51.7236,-72.4875,4.25,81,75,2.57,CL,1683559747
85,tura,25.5198,90.2201,26.05,30,0,2.11,IN,1683559565
86,huarmey,-10.0681,-78.1522,23.81,82,86,3.57,PE,1683559747
87,constantia,44.1833,28.65,11.5,92,100,5.62,RO,1683559747
88,pizarro,4.9533,-77.366,28.68,81,96,1.91,CO,1683559748
